Code,Barcode,Description,Description_CSD,Unit,CP,CPU,TP_Captains,TP_Coopers,TP_Shumis,TP_Genius,TP_Overseas,TP_Iferi,MRP,Stock
TZ-1010,TT749813889N,Floor Brush,,Pc(s),39,85,,,,,,,,140
TZ-1017,HH74987940N,Back Scratcher,,Pc(s),16,42,,,,,,,,420
TZ-1235,HH74988809N,Slim Tissue Box,,Pc(s),204,,,,,,,,,87
TZ-1261,TT749813904N,Tooth Pick,,Pc(s),24,66,,,,,,,,1128
TZ-1263,TT749813906N,Tooth Pick,,Pc(s),22,66,,,,,,,,1020
TZ-1264,TT749813907N,Tooth Pick,,Pc(s),24,66,,,,,,,,912
TZ-1283,HH74989842N,3pcs Bath Carpet Set,,Pc(s),550,,,,,,,,,31
TZ-1284,HH74989843N,2pcs Bath Carpet Set,,Pc(s),417,,,,,,,,,68
TZ-1358,HH74989850N,Cockroach Powder (Pack of 5),,Pkt,30,135,,,,,,,,1510
TZ-1380,HH74989820N,Folding Cloth Hanger,,Pc(s),16,45,,,,,,,,475
TZ-1383,HH74989844N,Towel Set,,Pc(s),96,203,,,,,,,,364
TZ-1513,HH749810992N,Coster Set,,Pc(s),80,190,,,,,,,,735
TZ-1514,HH749810993N,Coster Set,,Pc(s),80,190,,,,,,,,1450
TZ-1577,HH749810536N,Mini Tooth Pick,,Pc(s),8,18,,,,,,,,2135
TZ-1585,HH749810537N,Dessert Plate,,Pc(s),172,460,,,,,,,,65
TZ-1602,,Multipurpose Hanger,,Pc(s),218,,,,,,,,,126
